id,title,date,summary,key_sentence,category,url,quiz_q,quiz_a
11,"에너지 효율을 높이는 스마트 장비 유지보수와 가상물리시스템(CPS)","2021-09-15","장비 유지보수에 CPS·CBM(상태기반정비)을 적용. OHT의 전동기기를 모니터링해 예지보전하는 사례를 직접 언급.","FAB의 반송을 담당하는 장비인 OHT(Overhead Hoist Transfer)의 전동기기를 모니터링한다.","OHT기술","https://news.skhynix.co.kr/?s=CPS","본문에서 반송을 담당하는 장비로 직접 언급된 것은?","OHT(Overhead Hoist Transfer)"
12,"SK하이닉스, 'SK AI Summit 2025'서 풀 스택 AI 메모리 비전 제시","2025-11-05","데이터센터·모빌리티·산업 자동화로 확장하는 AI 메모리 비전 발표. 산업 자동화가 핵심 응용처로 제시됨.","산업 자동화 등 응용 분야로 확장 가능한 AI 메모리를 개발하고 있다.","스마트팩토리","https://news.skhynix.co.kr/?s=AI+Summit","발표에서 AI 메모리의 확장 응용처로 언급된 분야는?","데이터센터·모빌리티·산업 자동화"
13,"[기술 레퍼런스] SEMI E84 — 로드포트 자동 핸드오프 인터페이스","2012-01-01","SEMI E84는 반송 장비(OHT/AGV)와 장비 로드포트 간 비접촉 핸드오프(적재/하역) 신호 교환을 규정하는 국제 표준. AMHS 자동 이적재의 기본 규격.","E84는 반송차와 장비 간 적재/하역 신호를 정의하는 핸드오프 인터페이스 표준이다.","MES연계","https://www.semi.org/en/products-services/standards","SEMI E84가 규정하는 것은?","반송차-장비 간 핸드오프(이적재) 인터페이스"
14,"[기술 레퍼런스] SEMI E87 — 캐리어 관리 시스템(CMS)","2010-01-01","SEMI E87(CMS)은 FOUP 등 캐리어의 입출고·할당·추적을 관리하는 표준. MES/MCS가 캐리어 위치를 일관되게 추적하도록 한다.","E87은 FOUP 캐리어의 입출고와 위치 추적을 표준화한다.","MES연계","https://www.semi.org/en/products-services/standards","SEMI E87(CMS)이 관리하는 대상은?","FOUP 등 캐리어"
15,"[기술 레퍼런스] SEMI E88 — 자동 스토커 사양","2010-01-01","SEMI E88은 자동 스토커(AS/RS)의 동작·인터페이스를 규정. 스토커는 FOUP를 임시 보관·버퍼링하는 핵심 저장 설비.","스토커는 FOUP를 임시 보관하고 반송 흐름을 버퍼링하는 자동 창고다.","OHT기술","https://www.semi.org/en/products-services/standards","스토커(Stocker)의 주요 역할은?","FOUP 임시 보관 및 버퍼링"
16,"[기술 레퍼런스] SEMI E10 — 설비 신뢰성·가용성·유지보수성(RAM)","2007-01-01","SEMI E10은 설비 상태를 6가지로 분류하고 가동률(Availability)·신뢰성을 측정하는 지표 표준. AMHS 가용성 관리의 기준.","E10은 설비 상태를 정의하고 가동률·신뢰성·유지보수성을 측정한다.","기타","https://www.semi.org/en/products-services/standards","SEMI E10이 측정하는 3대 지표(RAM)는?","신뢰성·가용성·유지보수성"
17,"[기술 레퍼런스] OHT — 천장 반송 시스템 개요","2020-01-01","OHT(Overhead Hoist Transport)는 천장 레일을 따라 FOUP를 운반하는 인터베이/인트라베이 반송 차량. 바닥 공간을 점유하지 않아 클린룸 효율이 높다.","OHT는 천장 레일을 주행하며 호이스트로 FOUP를 들어올려 운반한다.","OHT기술","https://www.semi.org/en/products-services/standards","OHT가 FOUP를 운반하는 방식은?","천장 레일 주행 + 호이스트 승강"
18,"[기술 레퍼런스] AMR — 자율주행 이동로봇의 FAB 적용","2021-01-01","AMR(Autonomous Mobile Robot)은 라이다·SLAM으로 자기 위치를 추정하고 장애물을 회피하며 바닥을 자율 주행. 고정 경로의 AGV와 달리 동적 경로를 사용.","AMR은 SLAM 기반으로 지도를 생성하고 동적으로 경로를 계획한다.","AMR기술","https://www.semi.org/en/products-services/standards","AMR이 AGV와 구분되는 핵심 특징은?","동적 경로 계획(자율주행)"
19,"[기술 레퍼런스] AGV vs AMR — 고정경로와 자율경로","2021-06-01","AGV는 자기테이프·마커 등 고정 경로를 따르고, AMR은 센서 기반으로 자유롭게 경로를 생성. 유연성과 초기 인프라 측면에서 차이가 있다.","AGV는 고정 경로, AMR은 자율 경로라는 점이 가장 큰 차이다.","AMR기술","https://www.semi.org/en/products-services/standards","AGV의 주행 경로 특징은?","사전 지정된 고정 경로"
20,"[기술 레퍼런스] FOUP과 EFEM","2019-01-01","FOUP(Front Opening Unified Pod)는 300mm 웨이퍼 25매를 담는 밀폐 용기, EFEM은 FOUP과 장비 내부를 연결해 웨이퍼를 이송하는 전단부 설비.","FOUP은 웨이퍼를 오염으로부터 보호하는 밀폐 캐리어다.","OHT기술","https://www.semi.org/en/products-services/standards","FOUP에 담기는 표준 웨이퍼 수량은?","300mm 웨이퍼 25매"
21,"[기술 레퍼런스] MCS와 MES 연계","2020-09-01","MCS(Material Control System)는 반송 설비를 직접 제어하고, 상위 MES의 생산 지시를 받아 반송 작업을 디스패칭. AMHS 제어의 두뇌.","MCS는 MES 지시를 받아 반송차에 작업을 배정(디스패칭)한다.","MES연계","https://www.semi.org/en/products-services/standards","반송 작업을 차량에 배정하는 시스템은?","MCS(Material Control System)"
22,"[기술 레퍼런스] AMHS 디스패칭과 경로탐색 알고리즘","2021-03-01","반송 작업 배정과 최단경로 계산에 A*·다익스트라 등이 사용되며, 혼잡 회피를 위해 가중치·우선순위를 반영. 본 앱 Tab2에서 A*를 직접 구현.","A*는 휴리스틱을 사용해 최단경로를 효율적으로 탐색한다.","SW알고리즘","https://www.semi.org/en/products-services/standards","최단경로 탐색에 휴리스틱을 사용하는 알고리즘은?","A* 알고리즘"
23,"[기술 레퍼런스] 인터베이/인트라베이 반송","2020-05-01","인트라베이는 베이 내부 장비 간 이동, 인터베이는 베이와 베이 사이 이동을 담당. OHT 트랙은 두 계층으로 구성된다.","인터베이는 베이 간, 인트라베이는 베이 내부 반송을 담당한다.","OHT기술","https://www.semi.org/en/products-services/standards","베이와 베이 사이를 잇는 반송 계층은?","인터베이(Interbay)"
24,"[기술 레퍼런스] 스마트팩토리와 디지털 트윈","2022-02-01","디지털 트윈으로 FAB·반송 흐름을 가상에서 모사해 병목을 사전 분석. 본 앱의 3D 시뮬레이션이 같은 개념의 축소판.","디지털 트윈은 물리 설비를 가상으로 복제해 사전에 검증한다.","스마트팩토리","https://www.semi.org/en/products-services/standards","FAB을 가상으로 복제해 검증하는 기술은?","디지털 트윈"
25,"[직무 기술서] SK하이닉스 IT(AMHS) 직무 소개","2026-06-01","SK하이닉스 채용 공식 JD. AMHS는 FAB 제조 환경 변화에 맞춰 안정적 자동반송 환경을 제공하고, Simulation 기반 신규 FAB 기획/설계/구축과 Data 기반 운영 최적화를 담당. 4대 업무는 구축(OHT·Robot·Conveyor H/W), 제어(MES 연계), SW개발(반송로직·스케줄링·경로탐색), 운영(Data 분석·개선).","Simulation 기반 신규 FAB 기획·설계·구축과 Data 기반 효율적 AMHS 운영을 수행한다.","스마트팩토리","https://careers.skhynix.com/","SK하이닉스 IT(AMHS) 직무의 4대 업무 영역은?","구축·제어·SW개발·운영"
